Date,tbl_liquidity_index,tbl_liquidity_30d_change,S&P 500,Bitcoin
2025-06-08,57.6610908,1.381304,6000.36,105793.7
2025-06-07,57.6610908,1.121612,6000.36,105615.6
2025-06-06,57.4010216,0.813758,6000.36,104390.3
2025-06-05,56.9411868,1.18103,5939.3,101576
2025-06-04,56.6921248,0.80201,5970.81,104732
2025-06-03,56.2051669,-0.07507,5970.37,105432.5
2025-06-02,56.9848947,0.704658,5935.94,105881.5
2025-06-01,57.4583525,1.063623,5911.69,105652.1
2025-05-31,57.4771174,1.676413,5911.69,104638.1
2025-05-30,57.5473631,2.078415,5911.69,103998.6
2025-05-29,57.5654787,2.211031,5912.17,105641.8
2025-05-28,57.2080411,1.464633,5888.55,107802.3
2025-05-27,56.6019427,0.39426,5921.54,108994.6
2025-05-26,56.2493432,0.041661,5802.82,109440.4
2025-05-25,56.2305797,0.039812,5802.82,109035.4
2025-05-24,56.2305797,0.419029,5802.82,107791.2
2025-05-23,56.3054313,1.801011,5802.82,107287.8
2025-05-22,56.250112,1.76421,5842.01,111673.3
2025-05-21,55.8582197,2.634107,5844.61,109678.1
2025-05-20,55.9836137,1.000141,5940.46,106791.1
2025-05-19,55.5742213,0.590749,5963.6,105606.2
2025-05-18,56.4127785,1.401411,5958.38,106446
2025-05-17,56.4127785,1.480613,5958.38,103191.1
2025-05-16,56.3736313,1.889381,5958.38,103489.3
2025-05-15,56.1030384,2.29427,5916.93,103744.6
2025-05-14,55.9151603,3.57174,5892.58,103539.4
2025-05-13,56.1207115,4.618756,5886.55,104169.8
2025-05-12,55.7051385,4.203183,5844.19,102813
2025-05-11,56.3338838,4.875406,5659.91,104106.4
2025-05-10,56.3338838,3.775778,5659.91,104696.3
2025-05-09,56.2797872,4.35088,5659.91,102970.8
2025-05-08,56.5394786,5.975143,5663.94,103241.5
2025-05-07,56.5872632,5.639002,5631.28,97032.32
2025-05-06,55.7601573,3.148892,5606.91,96802.48
2025-05-05,55.8901151,3.27885,5650.38,94748.05
2025-05-04,56.280237,3.778023,5686.67,94315.97
2025-05-03,56.280237,1.824955,5686.67,95891.8
2025-05-02,56.394729,1.502112,5686.67,96910.07
2025-05-01,55.8007041,0.739937,5604.14,96492.34
2025-04-30,55.4689477,0.340515,5569.06,94207.31
2025-04-29,55.3544475,-0.32397,5560.83,94284.79
2025-04-28,55.7434083,0.064987,5528.75,94978.75
2025-04-27,56.2076827,0.524833,5525.21,93754.85
2025-04-26,56.2076827,-0.05813,5525.21,94646.93
2025-04-25,56.1907674,-0.03747,5525.21,94720.5
2025-04-24,55.8115509,-0.22734,5484.77,93943.79
2025-04-23,54.5044198,-1.22832,5375.86,93699.11
2025-04-22,54.4859024,-1.44003,5287.76,93441.89
2025-04-21,53.2241124,-2.70182,5158.2,87518.91
2025-04-20,54.9834725,-0.94782,5282.7,85174.3
2025-04-19,54.9834725,-0.72547,5282.7,85063.41
2025-04-18,55.0113671,-1.39507,5282.7,84450.81
2025-04-17,54.9321656,-0.78148,5282.7,84895.75
2025-04-16,54.4842501,-0.73296,5275.7,84033.87
2025-04-15,53.8087679,-1.18601,5396.63,83668.99
2025-04-14,52.3434205,-2.65136,5405.97,84542.39
2025-04-13,51.5019559,-3.45927,5363.36,83684.98
